,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.01075200000000001,0.04185599999999977,0.02115199999999995,0.01084800000000007,0.014639991256827864,0,2,2048,all_reduce,2,4
1,0.012192000000000008,0.012254999999999995,0.012223666666666683,0.012224000000000047,2.5720722298475328e-05,0,2,10240,all_reduce,2,4
2,0.03494399999999996,0.04022299999999996,0.036884999999999994,0.035488000000000054,0.0023707477020270583,0,2,18432,all_reduce,2,4
3,0.013120000000000005,0.013343999999999938,0.013215666666666646,0.013182999999999993,9.431978701320687e-05,0,2,26624,all_reduce,2,4
4,0.012990999999999985,0.03680000000000007,0.020991666666666676,0.01318399999999997,0.011178457387115473,0,2,34816,all_reduce,2,4
5,0.013216000000000009,0.029855999999999994,0.02166366666666666,0.021918999999999984,0.006795650389934883,0,2,43008,all_reduce,2,4
6,0.013630999999999971,0.017952,0.015071666666666678,0.013632000000000062,0.0020367032729934394,0,2,51200,all_reduce,2,4
7,0.013631999999999948,0.013728000000000067,0.013664000000000025,0.013632000000000062,4.5254833995967946e-05,0,2,59392,all_reduce,2,4
8,0.014462999999999965,0.033600000000000026,0.020842333333333313,0.014463999999999942,0.009021032621355283,0,2,67584,all_reduce,2,4
9,0.033951999999999996,0.03680000000000007,0.03556233333333334,0.035934999999999946,0.0011921790506836363,0,2,75776,all_reduce,2,4
10,0.014399999999999864,0.01452800000000002,0.014485333333333265,0.014527999999999907,6.0339778661298904e-05,0,2,83968,all_reduce,2,4
11,0.014463999999999942,0.01913600000000008,0.016053333333333322,0.014559999999999946,0.002180126805690249,0,2,92160,all_reduce,2,4
12,0.015297000000000026,0.01584000000000003,0.015488333333333345,0.015327999999999975,0.0002489877283901669,0,2,100352,all_reduce,2,4
13,0.015455999999999904,0.01558400000000006,0.015541333333333305,0.015583999999999947,6.033977866129891e-05,0,2,108544,all_reduce,2,4
14,0.015808000000000107,0.01587199999999996,0.015850666666666676,0.01587199999999996,3.0169889330556434e-05,0,2,116736,all_reduce,2,4
15,0.015903999999999998,0.016031999999999984,0.015978666666666662,0.016,5.438954147831869e-05,0,2,124928,all_reduce,2,4
16,0.017473000000000072,0.01756899999999996,0.017536666666666673,0.017567999999999983,4.502098276231445e-05,0,2,133120,all_reduce,2,4
17,0.017663000000000012,0.025632999999999927,0.020319999999999977,0.01766399999999999,0.003756858350625747,0,2,141312,all_reduce,2,4
18,0.017537000000000035,0.01788799999999992,0.017685666666666672,0.01763200000000006,0.00014823479873342588,0,2,149504,all_reduce,2,4
19,0.01782499999999999,0.01798300000000006,0.017898666666666698,0.017888000000000032,6.494270979532086e-05,0,2,157696,all_reduce,2,4
20,0.017919000000000098,0.01808000000000004,0.018026333333333356,0.018079999999999926,7.589612784730198e-05,0,2,165888,all_reduce,2,4
21,0.017918999999999984,0.018079999999999926,0.018015666666666635,0.018048,6.959086785553696e-05,0,2,174080,all_reduce,2,4
22,0.01836799999999994,0.018432000000000018,0.018410333333333334,0.01843100000000004,2.993697082579901e-05,0,2,182272,all_reduce,2,4
23,0.03587199999999996,0.037791999999999916,0.03695999999999996,0.037216000000000006,0.0008044675257584882,0,2,190464,all_reduce,2,4
24,0.01936099999999999,0.03513499999999999,0.02462933333333331,0.01939199999999994,0.00742863892124408,0,2,198656,all_reduce,2,4
25,0.019423000000000003,0.02265599999999995,0.020522333333333337,0.019488000000000057,0.001508963514763951,0,2,206848,all_reduce,2,4
26,0.019168000000000008,0.019870999999999982,0.019423666666666655,0.01923199999999997,0.0003173897008760985,0,2,215040,all_reduce,2,4
27,0.019039999999999963,0.03632100000000003,0.024822,0.019105000000000018,0.008131064177994597,0,2,223232,all_reduce,2,4
28,0.0200630000000001,0.03663900000000001,0.025620333333333366,0.020158999999999993,0.007791472489559036,0,2,231424,all_reduce,2,4
29,0.020254999999999995,0.03727999999999997,0.028266333333333286,0.027263999999999896,0.00698647075106992,0,2,239616,all_reduce,2,4
30,0.035359000000000036,0.040512000000000055,0.03735433333333337,0.03619200000000001,0.002258556520336743,0,2,247808,all_reduce,2,4
31,0.02060799999999995,0.039008000000000036,0.026751999999999988,0.020639999999999988,0.00866631055678639,0,2,256000,all_reduce,2,4
32,0.020864000000000032,0.037248000000000045,0.03175466666666667,0.03715199999999993,0.007700963980062619,0,2,264192,all_reduce,2,4
33,0.020799999999999954,0.03865599999999995,0.031999999999999966,0.036543999999999986,0.007966393412329074,0,2,272384,all_reduce,2,4
34,0.020512000000000058,0.03881600000000003,0.026645333333333344,0.02060799999999995,0.008606050171568591,0,2,280576,all_reduce,2,4
35,0.02057600000000002,0.03791999999999984,0.026399999999999937,0.02070399999999995,0.008146037728040888,0,2,288768,all_reduce,2,4
36,0.02076800000000003,0.037952,0.029664000000000024,0.03027200000000005,0.0070284996976595114,0,2,296960,all_reduce,2,4
37,0.020864000000000032,0.025952,0.023978666666666676,0.025120000000000003,0.0022284400124052755,0,2,305152,all_reduce,2,4
38,0.020992000000000077,0.03817600000000004,0.026730666666666708,0.021024,0.008093083356930302,0,2,313344,all_reduce,2,4
39,0.021822999999999978,0.022144000000000007,0.022036999999999998,0.022144000000000007,0.00015132085117393514,0,2,321536,all_reduce,2,4
40,0.021984000000000038,0.022144000000000007,0.022069333333333326,0.022079999999999926,6.575374936498469e-05,0,2,329728,all_reduce,2,4
41,0.021055999999999925,0.03788799999999992,0.03203199999999993,0.03715199999999993,0.007767018132247836,0,2,337920,all_reduce,2,4
42,0.02227200000000005,0.03715300000000002,0.027243000000000017,0.022303999999999973,0.007007440379101824,0,2,346112,all_reduce,2,4
43,0.022689000000000077,0.036351999999999975,0.031744333333333354,0.03619200000000001,0.00640342076983506,0,2,354304,all_reduce,2,4
