,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.004607999999999947,0.004927999999956228,0.0047676666666520385,0.004766999999999939,0.00013064030344505395,0,2,2048,send_recv,2,4
1,0.005025000000000091,0.005183999999999969,0.00513100000000001,0.005183999999999969,7.495331880571653e-05,0,2,10240,send_recv,2,4
2,0.005183999999999969,0.005246999999999844,0.005215333333333319,0.005215000000000146,2.5720722298428423e-05,0,2,18432,send_recv,2,4
3,0.005215999999999894,0.005311999999999898,0.005279999999999897,0.005311999999999898,4.525483399594096e-05,0,2,26624,send_recv,2,4
4,0.005375999999999976,0.005407999999999902,0.00539700000000001,0.005407000000000153,1.4854853303459349e-05,0,2,34816,send_recv,2,4
5,0.0053760000000002035,0.005407000000000153,0.0053866666666667696,0.005376999999999953,1.4383632673626592e-05,0,2,43008,send_recv,2,4
6,0.0054090000000001056,0.005504000000000019,0.005451333333333385,0.005441000000000031,3.946587837047392e-05,0,2,51200,send_recv,2,4
7,0.005216000000000122,0.005343999999999824,0.00528000000000001,0.005280000000000087,5.225578117925287e-05,0,2,59392,send_recv,2,4
8,0.005407999999999902,0.005440000000000055,0.005418666666666658,0.005408000000000015,1.5084944665358562e-05,0,2,67584,send_recv,2,4
9,0.005375999999999976,0.005408000000000129,0.005386666666666693,0.005375999999999976,1.5084944665384933e-05,0,2,75776,send_recv,2,4
10,0.0055679999999999836,0.005599999999999909,0.005578666666666625,0.0055679999999999836,1.5084944665277809e-05,0,2,83968,send_recv,2,4
11,0.005439999999999827,0.005599999999999909,0.0055359999999999064,0.0055679999999999836,6.912790078306663e-05,0,2,92160,send_recv,2,4
12,0.0055679999999999836,0.005599999999999909,0.005589333333333268,0.005599999999999909,1.5084944665277809e-05,0,2,100352,send_recv,2,4
13,0.005599999999999909,0.005599999999999909,0.005599999999999908,0.005599999999999909,8.673617379884035e-19,0,2,108544,send_recv,2,4
14,0.005632000000000062,0.005632000000000062,0.005632000000000063,0.005632000000000062,8.673617379884035e-19,0,2,116736,send_recv,2,4
15,0.005441000000000031,0.005695999999999913,0.0056003333333333105,0.005663999999999988,0.0001134205546724793,0,2,124928,send_recv,2,4
16,0.005536000000000058,0.005791999999999916,0.00570666666666663,0.005791999999999916,0.00012067955732243712,0,2,133120,send_recv,2,4
17,0.0055679999999999836,0.00582400000000007,0.005664000000000026,0.0056000000000000225,0.00011388883468836697,0,2,141312,send_recv,2,4
18,0.005600000000000136,0.005823000000000093,0.005748666666666698,0.005822999999999866,0.00010512320813632612,0,2,149504,send_recv,2,4
19,0.005663999999999988,0.00588799999999992,0.005802333333333309,0.005855000000000018,9.873983773306891e-05,0,2,157696,send_recv,2,4
20,0.005695999999999913,0.005919999999999959,0.00584499999999999,0.005919000000000097,0.00010535970134106329,0,2,165888,send_recv,2,4
21,0.005727999999999838,0.005951999999999998,0.005813333333333275,0.005759999999999991,9.891859728533477e-05,0,2,174080,send_recv,2,4
22,0.005791999999999916,0.005985000000000127,0.00590966666666668,0.005951999999999998,8.428654828758349e-05,0,2,182272,send_recv,2,4
23,0.0058239999999998415,0.006015999999999849,0.005941333333333242,0.005984000000000037,8.398941732282792e-05,0,2,190464,send_recv,2,4
24,0.0058560000000001085,0.006080000000000041,0.0059946666666667175,0.006048000000000002,9.8918597285249e-05,0,2,198656,send_recv,2,4
25,0.0059199999999998455,0.006144000000000005,0.006069333333333285,0.006144000000000005,0.00010559461265726644,0,2,206848,send_recv,2,4
26,0.005951999999999998,0.006176000000000159,0.006101333333333362,0.006175999999999931,0.00010559461265721308,0,2,215040,send_recv,2,4
27,0.006016000000000077,0.006240000000000009,0.006154666666666724,0.006208000000000084,9.891859728526942e-05,0,2,223232,send_recv,2,4
28,0.006080000000000155,0.006240000000000009,0.006186333333333399,0.006239000000000033,7.519012937577693e-05,0,2,231424,send_recv,2,4
29,0.006112999999999943,0.006336000000000013,0.006197666666666654,0.006144000000000005,9.86317505787381e-05,0,2,239616,send_recv,2,4
30,0.006175999999999931,0.006305000000000064,0.006261666666666618,0.00630399999999986,6.0576856600168805e-05,0,2,247808,send_recv,2,4
31,0.006271999999999935,0.006432000000000017,0.006368000000000015,0.006400000000000091,6.912790078306663e-05,0,2,256000,send_recv,2,4
32,0.006305000000000064,0.006463999999999942,0.006389666666666623,0.006399999999999864,6.532142748655655e-05,0,2,264192,send_recv,2,4
