,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.008064999999999828,0.028416000000000056,0.015296333333333112,0.009407999999999448,0.009293192932942496,0,4,2048,all_reduce,4,8
1,0.028096000000000003,0.033344000000000054,0.03159466666666671,0.033344000000000054,0.0024739309251113582,0,4,10240,all_reduce,4,8
2,0.011743999999999914,0.027297000000000026,0.02187766666666668,0.026592000000000098,0.0071713623221502714,0,4,18432,all_reduce,4,8
3,0.026463999999999942,0.032545000000000074,0.028864333333333284,0.027583999999999834,0.0026424837222247246,0,4,26624,all_reduce,4,8
4,0.011647999999999912,0.030879999999999883,0.023040333333333288,0.026593000000000075,0.008243524178947323,0,4,34816,all_reduce,4,8
5,0.027295999999999935,0.02918399999999974,0.028437333333333186,0.028831999999999882,0.0008197387117584757,0,4,43008,all_reduce,4,8
6,0.03276800000000003,0.04307299999999987,0.036245666666666655,0.03289600000000007,0.004827936504231187,0,4,51200,all_reduce,4,8
7,0.031327,0.04515199999999982,0.039242666666666544,0.0412489999999998,0.005819604014783815,0,4,59392,all_reduce,4,8
8,0.011967999999999961,0.028448000000000095,0.022538666666666703,0.027200000000000047,0.007491934388987244,0,4,67584,all_reduce,4,8
9,0.02729600000000005,0.03347199999999998,0.03003733333333336,0.02934400000000005,0.0025685634549728505,0,4,75776,all_reduce,4,8
10,0.02723199999999997,0.027776000000000068,0.02756300000000003,0.02768100000000004,0.00023724389700619417,0,4,83968,all_reduce,4,8
11,0.012,0.02815999999999997,0.022655999999999992,0.027807999999999992,0.007536300064797482,0,4,92160,all_reduce,4,8
12,0.012,0.02934400000000005,0.02331733333333341,0.028608000000000175,0.008008202017653924,0,4,100352,all_reduce,4,8
13,0.012063000000000101,0.027744000000000144,0.022506666666666814,0.027713000000000192,0.0073847983648092485,0,4,108544,all_reduce,4,8
14,0.012,0.027936000000000148,0.02258133333333338,0.027807999999999992,0.0074823150309394695,0,4,116736,all_reduce,4,8
15,0.02767999999999995,0.033919999999999846,0.029930333333333278,0.028191000000000032,0.002828823116107094,0,4,124928,all_reduce,4,8
16,0.012159999999999855,0.0365440000000001,0.025834666666666634,0.028799999999999954,0.010173159631544706,0,4,133120,all_reduce,4,8
17,0.02700800000000004,0.03436800000000017,0.030453333333333377,0.029983999999999924,0.0030229792515920335,0,4,141312,all_reduce,4,8
18,0.026879999999999883,0.029120000000000004,0.02819199999999997,0.02857600000000002,0.0009539364059866761,0,4,149504,all_reduce,4,8
19,0.012255999999999859,0.027295000000000073,0.020586333333333262,0.022207999999999856,0.006245810987284986,0,4,157696,all_reduce,4,8
20,0.024639999999999874,0.034271999999999934,0.030719999999999914,0.03324799999999994,0.0043194863892211674,0,4,165888,all_reduce,4,8
21,0.028,0.03968000000000029,0.03194666666666679,0.02816000000000008,0.005468682555139783,0,4,174080,all_reduce,4,8
22,0.027742999999999938,0.04521499999999992,0.03560466666666662,0.033856,0.007239294271927022,0,4,182272,all_reduce,4,8
23,0.027072000000000117,0.03052800000000002,0.029013666666666726,0.029441000000000033,0.0014429008589950897,0,4,190464,all_reduce,4,8
24,0.012223999999999933,0.04265599999999995,0.027029333333333322,0.026208000000000085,0.012437379073672329,0,4,198656,all_reduce,4,8
25,0.026975999999999885,0.037504000000000134,0.0322343333333334,0.03222300000000018,0.0042980454731063236,0,4,206848,all_reduce,4,8
26,0.011936000000000035,0.031360999999999875,0.018496333333333306,0.012192000000000008,0.009097293382588452,0,4,215040,all_reduce,4,8
27,0.02966399999999999,0.03193599999999992,0.03080533333333324,0.030815999999999805,0.0009275707819651847,0,4,223232,all_reduce,4,8
28,0.027745000000000006,0.029792000000000145,0.028960666666666728,0.029345000000000027,0.0008787628930617774,0,4,231424,all_reduce,4,8
29,0.029440000000000056,0.03001699999999994,0.02978166666666664,0.02988799999999992,0.0002472681854900215,0,4,239616,all_reduce,4,8
30,0.02838300000000004,0.03446400000000017,0.03098600000000003,0.030110999999999877,0.0025584968243092254,0,4,247808,all_reduce,4,8
31,0.028416000000000167,0.03523199999999997,0.032096000000000006,0.03263999999999987,0.0028090824124613156,0,4,256000,all_reduce,4,8
32,0.01228800000000001,0.032160000000000084,0.02437333333333334,0.028671999999999913,0.008663448017709558,0,4,264192,all_reduce,4,8
33,0.027647999999999912,0.03887999999999988,0.03242666666666658,0.030751999999999953,0.004735879878356507,0,4,272384,all_reduce,4,8
34,0.02787200000000007,0.04684799999999996,0.0356266666666667,0.032160000000000084,0.008125493926867134,0,4,280576,all_reduce,4,8
35,0.026560000000000174,0.03375999999999999,0.03097600000000004,0.03260799999999995,0.0031578017670524246,0,4,288768,all_reduce,4,8
36,0.012255999999999972,0.02953600000000006,0.023157333333333363,0.027680000000000066,0.0077455572355311884,0,4,296960,all_reduce,4,8
37,0.027488000000000058,0.028672000000000027,0.028032,0.027935999999999923,0.00048810927738229115,0,4,305152,all_reduce,4,8
38,0.029152000000000046,0.04454399999999987,0.03480533333333332,0.03072000000000003,0.006915965940408309,0,4,313344,all_reduce,4,8
39,0.03072000000000003,0.04358400000000006,0.03611733333333336,0.034048,0.00545174157698459,0,4,321536,all_reduce,4,8
40,0.027871999999999845,0.02988799999999992,0.02858666666666659,0.028,0.0009216641952950622,0,4,329728,all_reduce,4,8
41,0.028032000000000154,0.028864000000000486,0.028576000000000174,0.028831999999999882,0.00038488786245695523,0,4,337920,all_reduce,4,8
42,0.029888000000000147,0.03430400000000009,0.0317010000000001,0.03091100000000006,0.0018873860230487957,0,4,346112,all_reduce,4,8
