M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
8,151936,5120,517.9692000000001,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,12457082880.0,23040.0,94371840.0,23040.0,1520720.0,791689.647705148,300906.69385429955,11760.0,808140.6662144611,94080.0,307159.423828125,0.0243067810488079,0.23396,8.625295
2,151936,5120,514.5774,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,12457082880.0,23040.0,94371840.0,23040.0,1520720.0,791689.647705148,300906.69385429955,11760.0,808140.6662144611,94080.0,307159.423828125,0.0244669974515519,0.23396,8.562265
2,152064,8192,591.5423999999999,8,384,64,0,132,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,19931332608.0,36864.0,150994944.0,36864.0,2433152.0,863667.7575755843,408189.4899232794,18816.0,881614.4546265787,150528.0,416671.5167800154,0.0340537927544702,0.3255767,8.560656
2,13312,16384,519.3851999999999,16,16,128,1,7488,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,6979321856.0,47998.19718309859,52101120.0,50880.0,426496.0,1061332.7026367188,161062.186931908,6360.0,2247408.628463745,50880.0,341054.73969731195,0.0368916113884662,0.35179293,8.535849
10,36864,7168,618.6622,16,16,128,1,2304,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,8455716864.0,58151.66197183099,62390272.0,60928.0,516320.0,1284859.1804504397,194983.3723098992,7616.0,2691236.49597168,60928.0,408407.6882916239,0.0375232821984278,0.35589838,8.484733
12,16384,8192,328.425,16,16,128,1,1024,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4294967296.0,29537.352112676057,33554432.0,32768.0,262400.0,652980.8044433594,99092.8821159698,4096.0,1447387.6953125,32768.0,219647.8323585204,0.0359027422663098,0.33876505,8.435629
8,34816,5120,436.7226,16,16,128,1,2176,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5704253440.0,39229.295774647886,41943040.0,40960.0,348320.0,866792.2019958496,131539.75876004042,5120.0,1809234.619140625,40960.0,274559.7904481505,0.0358589125335613,0.33400694,8.314472
2,8192,29568,165.3662,8,128,64,1,128,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,3875536896.0,7168.0,30277632.0,7392.0,473550.0,246531.00680649484,93701.90756661553,3927.0,269861.2581823289,31416.0,102569.3075997489,0.0236864600547777,0.21949525,8.266694
21,129280,7168,662.7782,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0679636245476532,0.6297313,8.265711
18,129280,7168,662.2208,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0680208304287171,0.6297313,8.257918
