hardware,total_underperforming,avg_perf_diff,min_perf_diff,avg_rel_gap,min_rel_gap,topk_count
NVIDIA A100-SXM4-80GB,3024,-0.015003401,-0.25303474,-0.035227124,-0.4370402,3024
NVIDIA A40,3024,-0.05001331,-0.4111442,-0.16267902,-0.7199236,3024
NVIDIA H100,3024,-0.01565583,-0.18085527,-0.06352771,-0.41831034,3024
NVIDIA H20,3024,0.0065695667,-0.06492904,0.001148258,-0.309788,3024
NVIDIA H200,3024,-0.0062740147,-0.12880251,-0.03048381,-0.5089632,3024
NVIDIA H800,3024,-0.0121925045,-0.17926994,-0.056088362,-0.45969883,3024
NVIDIA L20,3024,-0.052555785,-0.4709591,-0.09982399,-0.62534803,3024
NVIDIA L40,3024,-0.06941681,-0.41811207,-0.12533234,-0.7325674,3024
NVIDIA RTX 6000 Ada Generation,3024,-0.027303796,-0.21452576,-0.10487889,-0.6334962,3024
NVIDIA RTX A6000,3024,0.0056584678,-0.1731511,0.0046600364,-0.33089796,3024
NVIDIA RTX PRO 6000 Blackwell Server Edition,3024,-0.0028210543,-0.27347064,0.013673348,-0.4206415,3024
