num_prefill_tokens,num_decode_tokens,output_tokens
19,86,143
42,146,143
54,115,143
165,217,143
171,95,143
181,74,143
181,267,143
181,162,143
195,80,143
197,164,143
197,82,143
200,211,143
200,174,143
200,181,143
203,183,143
206,161,143
209,217,143
226,49,143
237,143,143
242,14,143
280,60,143
371,69,143
371,59,143
375,66,143
381,73,143
388,101,143
388,98,143
392,89,143
394,82,143
395,81,143
396,60,143
400,99,143
401,104,143
402,126,143
402,110,143
403,94,143
403,94,143
404,104,143
407,104,143
410,104,143
420,95,143
421,94,143
430,99,143
438,99,143
663,56,143
864,150,143
874,150,143
887,112,143
