num_prefill_tokens,num_decode_tokens,output_tokens
203,183,18
181,170,18
1054,514,18
320,18,18
36,133,18
4117,77,18
396,97,18
377,68,18
311,18,18
384,111,18
1152,394,18
1056,438,18
209,152,18
1125,373,18
401,102,18
1048,394,18
963,393,18
406,87,18
381,77,18
1176,621,18
4080,51,18
426,82,18
4079,90,18
421,92,18
13,172,18
209,217,18
1051,400,18
389,89,18
378,68,18
420,89,18
417,90,18
413,200,18
4094,95,18
382,123,18
398,137,18
407,116,18
4085,48,18
1337,123,18
379,78,18
374,73,18
394,94,18
1052,398,18
400,96,18
4080,93,18
181,101,18
197,217,18
4074,38,18
1010,635,18
4097,51,18
883,47,18
1156,74,18
1041,569,18
404,129,18
1209,403,18
977,478,18
379,105,18
4146,69,18
4075,36,18
376,81,18
1142,396,18
431,107,18
410,183,18
984,384,18
1015,396,18
1318,148,18
974,160,18
4086,33,18
997,517,18
95,175,18
2097,117,18
1034,437,18
1129,396,18
