attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[1353,54,729,825,255,90,6849,17793]",32,8,128,160.78166666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1911816192,26295.88732394366,15138816,29568.0,20885888,9192.732394366198,161824,10114.0,57696.0,158556.16906552482,24262.042051504115,456.0,177946.98175490266,3648.0,27229.19694465812,0.0656828451762921,0.26448268,3.0266626
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[10,285,633,1137,7233,16641,20097,10497]",32,4,128,145.32973333333334,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,1922629632,40500.28715874621,22708224,44008.186046511626,19403648,13181.826086956522,226336,14146.0,57632.0,160288.48492745595,34531.1988710733,680.0,173994.44088460656,5440.0,37483.894388089,0.1105867474926809,0.4394323,2.9736433
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,543.5677333333334,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,5376442368,62505.142857142855,118947840,116160.0,48577152,36143.71428571428,1046560,65410.0,159776.0,380883.1333407138,109107.50024112656,3528.0,706460.7846722112,28224.0,202372.2330729167,0.0660865126681109,0.25758824,2.8977425
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[38,21,81,1545,3297,51,1713,14721,1857,14721,333,16384]",8,4,128,143.90246666666664,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1931280384,26563.605633802817,15138816,29568.0,21117376,9294.61971830986,161824,10114.0,58288.0,160183.06264717333,24510.987019863976,456.0,177946.98175490266,3648.0,27229.19694465812,0.0741343422353006,0.2853054,2.8484914
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[23,2048,435,224,47,321,16384,4096,672,1569,18561,18945]",8,4,128,185.7830666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2203779072,30311.661971830985,17301504,33792.0,23439808,10316.81690140845,180256,11266.0,66352.0,182343.99143503368,27902.021183468543,520.0,202921.9967380469,4160.0,31050.83862110136,0.0655245843447099,0.25191617,2.8446052
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,373.16386666666665,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,4429185024,51492.57142857143,75694080,73920.0,40503936,30136.85714285714,677920,42370.0,131744.0,294470.78704833984,83760.57942708333,2248.0,422072.4105834961,17984.0,120056.15234375,0.0766606487989301,0.29374367,2.8317397
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[13,90,201,5409,4833,2433,1737,1257,18945,11649,8193,8961]",64,8,128,449.4356000000001,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,4368629760,50788.57142857143,81100800,79200.0,39987840,29752.85714285714,724000,45250.0,129952.0,309786.9826750728,88741.34958526235,2408.0,482187.519696906,19264.0,138127.0797164352,0.0649455320280622,0.24697497,2.8028011
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,328.8299333333333,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,4429185024,93300.99898887766,68124672,132024.55813953487,40766336,27694.52173913044,613408,38338.0,131808.0,366589.8219967746,78975.01840641361,2024.0,517889.335809476,16192.0,111569.70917866493,0.1125937823623741,0.4183271,2.7153656
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,320.4816,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4433510400,30490.140845070426,37847040,36960.0,42377600,18652.11267605634,355360,22210.0,132320.0,329277.5154113769,49969.39848165063,1128.0,398597.00202941895,9024.0,60488.95383310816,0.0379794437877362,0.1400786,2.6882737
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[25,249,6177,14337,11265,159,14721,3393,2721,1473,4353,7905]",20,4,128,172.53613333333334,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,2298937344,48427.22750252781,28114944,54486.32558139535,22610816,15360.608695652174,272416,17026.0,68768.0,191260.38540205604,41203.52380562827,840.0,214934.30932804343,6720.0,46303.63424410995,0.1113804592671469,0.40983468,2.6795921
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[243,159,10497,126,288,459,6561,12033,1536,8577,7617,18432]",64,4,128,200.7563333333333,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2337865728,32155.94366197184,18382848,35904.0,24582592,10819.802816901409,189472,11842.0,70320.0,193248.57544175864,29570.62529571841,552.0,215409.50422961905,4416.0,32961.65945932298,0.0643269050832044,0.23627864,2.673092
fa2_ragged,1,[8],[225],5,1,128,30.255133333333337,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,8650752,100.57142857142856,4325376,4224.0,51328,38.19047619047619,25664,1604.0,96.0,228.8502703829644,65.55627893518518,48.0,9611.711356084506,384.0,2753.363715277778,0.0019104087546391,0.006744817,2.5305488
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[7,12,43,45,12417,5121,13569,4545,6561,2817,873,7521]",8,4,128,137.9221333333333,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1918304256,26385.12676056338,15138816,29568.0,21006784,9245.94366197183,161824,10114.0,57904.0,159127.78032394187,24349.50920254947,456.0,177946.98175490266,3648.0,27229.19694465812,0.0768291223020437,0.27008745,2.5154305
fa2_paged,1,[1],[160],6,1,128,31.353666666666665,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,10813440,125.71428571428572,540672,528.0,420160,312.6190476190476,21008,1313.0,400.0,953.5427932623516,273.1511622299383,20.0,4004.8797317018775,160.0,1147.2348813657409,0.0023043425912217,0.0080991145,2.514707
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[13,90,201,5409,4833,2433,1737,1257,18945,11649,8193,8961]",64,8,128,321.4619333333334,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,4377280512,92207.62790697676,70287360,136215.81395348837,40323968,27394.0,631840,39490.0,130272.0,362317.8357244161,78054.69772578534,2088.0,534265.2831868508,16704.0,115097.6051210733,0.1138247634956297,0.39670867,2.4852579
fa2_paged,6,"[1,1,1,1,1,1]","[105,512,20097,6561,2817,7329]",40,8,128,220.9064,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2608201728,35874.25352112676,20545536,40128.0,26820992,11805.014084507042,207904,12994.0,78304.0,215189.65374561248,32928.01824738246,616.0,240384.51921276323,4928.0,36783.30113576623,0.0652191640050999,0.22473373,2.4458232
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[255,127,1569,7425,13569,6177,672,921]",64,8,128,184.2014,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2184314880,30043.94366197184,17301504,33792.0,23208320,10214.929577464787,180256,11266.0,65760.0,180717.0978533852,27653.07621510869,520.0,202921.9967380469,4160.0,31050.83862110136,0.0655035240128529,0.22323419,2.407972
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,380.93753333333336,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,4433510400,60980.28169014085,37847040,73920.0,42377600,18652.11267605634,355360,22210.0,132320.0,363632.700546836,55642.56454962258,1128.0,440184.6390779171,9024.0,67356.43454731218,0.0642889472025283,0.2158047,2.356793
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,446.0508,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,5376442368,62505.142857142855,118947840,116160.0,48577152,36143.71428571428,1046560,65410.0,159776.0,357127.18963623047,101582.84505208331,3528.0,662398.3383178711,28224.0,188415.52734375,0.0778500551172184,0.25758824,2.3087735
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[46,40,82,11265,4833,896,6177,2025,14721,753,8193,3072]",12,4,128,99.4418,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1827471360,25135.774647887323,14057472,27456.0,20232640,8905.211267605633,152608,9538.0,55216.0,151740.80406132177,23219.164481347947,424.0,165459.47426333054,3392.0,25318.37610643649,0.1015135346867149,0.32663816,2.2176807
