attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[1353,54,729,825,255,90,6849,17793]",32,8,128,160.78166666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1911816192,26295.88732394366,15138816,29568.0,20885888,9192.732394366198,161824,10114.0,57696.0,158556.16906552482,24262.042051504115,456.0,177946.98175490266,3648.0,27229.19694465812,0.0656828451762921,0.1522927,1.3186069
fa2_paged,1,[1],[249],4,1,128,9.659533333333336,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,17301504,237.9718309859155,540672,1056.0,672256,295.88732394366195,21008,1313.0,640.0,1758.803872052411,269.1296955241721,20.0,7804.692182232573,160.0,1194.2630238885138,0.009893957933807,0.022634258,1.2876837
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[261,81,20,1233,267,12033,1809,351,6657,8001,13953,19713]",20,4,128,192.49846666666664,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2236219392,30757.85915492957,17301504,33792.0,23716288,10438.50704225352,180256,11266.0,67312.0,184982.19724311228,28305.7157267548,520.0,202921.9967380469,4160.0,31050.83862110136,0.0641696221865062,0.14661129,1.2847458
fa2_paged,1,[1],[160],6,1,128,9.2652,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,10813440,148.73239436619718,540672,1056.0,420160,184.9295774647888,21008,1313.0,400.0,1099.2524200327566,168.20605970260758,20.0,7804.692182232573,160.0,1194.2630238885138,0.0064469072753561,0.014649743,1.2723657
fa2_paged,1,[1],[399],8,1,128,9.9884,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,27033600,371.8309859154929,540672,1056.0,1050400,462.32394366197184,21008,1313.0,1000.0,2748.131050081892,420.5151492565189,20.0,7804.692182232573,160.0,1194.2630238885138,0.0149503136857828,0.033562116,1.2449098
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[23,2048,435,224,47,321,16384,4096,672,1569,18561,18945]",8,4,128,185.7830666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2203779072,30311.661971830985,17301504,33792.0,23439808,10316.81690140845,180256,11266.0,66352.0,182343.99143503368,27902.021183468543,520.0,202921.9967380469,4160.0,31050.83862110136,0.0655245843447099,0.14376326,1.1940353
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[9,117,82,832,453,1353,5985,19329]",128,8,128,170.28993333333335,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1993998336,27426.25352112676,16220160,31680.0,21586304,9501.014084507042,171040,10690.0,60128.0,165239.623779324,25284.73489449597,488.0,190434.4892464748,3904.0,29140.01778287974,0.0646812141589042,0.14142998,1.1865693
fa2_paged,1,[1],[219],8,2,64,9.909333333333336,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,30277632,416.4507042253521,540672,1056.0,1176448,517.8028169014085,21008,1313.0,1008.0,2770.1160984825474,423.8792704505712,18.0,7024.2229640093165,144.0,1074.8367214996624,0.01687795466954,0.03681507,1.1812512
fa2_paged,1,[1],[411],8,2,128,10.009666666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,56229888,773.4084507042254,540672,1056.0,2184832,961.6338028169014,21008,1313.0,2080.0,5716.112584170335,874.6715104535594,20.0,7804.692182232573,160.0,1194.2630238885138,0.0310305841182529,0.067186005,1.165154
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[255,127,1569,7425,13569,6177,672,921]",64,8,128,184.2014,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2184314880,30043.94366197184,17301504,33792.0,23208320,10214.929577464787,180256,11266.0,65760.0,180717.0978533852,27653.07621510869,520.0,202921.9967380469,4160.0,31050.83862110136,0.0655035240128529,0.14158557,1.1614954
fa2_ragged,1,[315],[1353],16,4,64,54.9136,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,2171338752,14932.732394366198,17301504,16896.0,9051648,3984.0,69888,4368.0,12320.0,30658.24508666992,4652.531660322973,96.0,33923.14910888672,768.0,5147.996070902821,0.1085554510451591,0.23348182,1.1508069
fa2_paged,2,"[1,1]","[80,297]",4,1,128,9.514666666666669,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,25952256,356.9577464788732,540672,1056.0,1008384,443.8309859154929,21008,1313.0,960.0,2638.2058080786164,403.6945432862582,20.0,7804.692182232573,160.0,1194.2630238885138,0.0150668993158257,0.032351803,1.1472096
fa2_ragged,2,"[33,51]","[288,97]",2,1,128,32.19853333333334,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,28114944,326.85714285714283,8650752,8448.0,125952,93.71428571428572,34944,2184.0,232.0,553.054820092164,158.4276740933642,64.0,12815.61514144601,512.0,3671.1516203703695,0.0058340835196381,0.01251588,1.1453016
fa2_paged,1,[1],[207],4,1,128,30.44933333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,14057472,163.42857142857142,540672,528.0,546208,406.4047619047619,21008,1313.0,520.0,1239.6056312410572,355.09651089891975,20.0,4004.8797317018775,160.0,1147.2348813657409,0.003084614868577,0.0066144285,1.144325
fa2_paged,2,"[1,1]","[28,405]",8,2,128,10.009666666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,59473920,818.0281690140845,540672,1056.0,2310880,1017.112676056338,21008,1313.0,2200.0,6045.888310180162,925.1333283643418,20.0,7804.692182232573,160.0,1194.2630238885138,0.0328208101250752,0.07032729,1.1427648
fa2_paged,4,"[1,1,1,1]","[54,23,40,213]",5,1,128,9.3908,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,22708224,312.3380281690141,540672,1056.0,882336,388.3521126760563,21008,1313.0,840.0,2308.430082068789,353.2327253754759,20.0,7804.692182232573,160.0,1194.2630238885138,0.0133574305814224,0.02856645,1.1386178
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[19,30,39,384,3201,114,465,753,16257,7329,20481,19329]",12,4,128,202.7555333333333,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2350841856,32334.422535211263,18382848,35904.0,24693184,10868.478873239435,189472,11842.0,70704.0,194303.8577649901,29732.10311303292,552.0,215409.50422961905,4416.0,32961.65945932298,0.0640461527635939,0.13654594,1.1319928
