M,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
46,9728,32.245,0.2714032752745619,0.49571136,-0.22430807,-0.45249733
375,2304,45.63440000000001,0.4360288914146256,0.65918887,-0.22315997,-0.33853722
128,7168,47.0548,0.4385286246126302,0.6609934,-0.22246477,-0.33656126
384,2304,45.532,0.437009506333383,0.65918887,-0.22217935,-0.3370496
122,7168,46.9526,0.4394831537640598,0.6609934,-0.22151023,-0.33511716
120,7168,46.8888,0.4400811435870057,0.6609934,-0.22091225,-0.33421248
131072,7168,15735.6674,0.2937411085909592,0.5140976,-0.22035646,-0.4286277
126,7168,46.8182,0.4407447686032866,0.6609934,-0.22024864,-0.33320853
104961,2752,11278.529,0.2883453900697332,0.5082924,-0.21994698,-0.43271744
124,7168,46.7034,0.4418281479597287,0.6609934,-0.21916524,-0.3315695
110,7168,46.6964,0.4418943799826624,0.6609934,-0.21909901,-0.3314693
44,9728,31.5156,0.2776846581130693,0.49571136,-0.2180267,-0.43982592
1024,24576,1475.0202,0.3837135180813213,0.6016546,-0.21794108,-0.3622362
327,2304,45.071000000000005,0.4414793734856469,0.65918887,-0.21770948,-0.33026874
351,2304,45.070800000000006,0.4414813325339597,0.65918887,-0.21770754,-0.33026582
2304,640,37.6212,0.3305635659277813,0.5478553,-0.21729174,-0.3966225
192,3584,19.01,0.1780857160844088,0.3953036,-0.21721789,-0.54949635
1785,16384,1708.2146,0.3865533377442838,0.60364926,-0.21709591,-0.35963917
993,24576,1469.798,0.3850768542228348,0.6016546,-0.21657774,-0.3599702
118,7168,46.383,0.4448801656948104,0.6609934,-0.21611324,-0.3269522
1833,768,46.626,0.4445373120319939,0.6605254,-0.21598807,-0.32699436
363,2304,44.879,0.4433680973812161,0.65918887,-0.21582076,-0.32740352
1737,768,38.1268,0.4059128367465088,0.6212016,-0.21528873,-0.34656823
40,9728,31.202,0.280475566028724,0.49571136,-0.2152358,-0.43419582
1521,16384,1448.4946,0.3907402831760742,0.6043824,-0.21364212,-0.35348833
279,2048,24.4566,0.2024586088927962,0.4160487,-0.2135901,-0.5133776
50,12288,31.6116,0.2797554883843145,0.49295852,-0.21320301,-0.43249688
114,7168,46.0756,0.4478482477802219,0.6609934,-0.21314514,-0.3224618
256,129280,5319.7164,0.2448582772743841,0.45785028,-0.212992,-0.4652001
256,151936,4377.6904,0.2497810778205384,0.4627446,-0.21296352,-0.46021828
189,3584,18.4854,0.1831396379177411,0.3953036,-0.21216397,-0.53671145
