hardware,total_underperforming,avg_perf_diff,min_perf_diff,avg_rel_gap,min_rel_gap,topk_count
NVIDIA A100-SXM4-80GB,4773,-0.12721433,-0.32892278,-0.24635467,-0.98047864,100
NVIDIA A40,8057,-0.17786242,-0.5492804,-0.29335207,-0.92929006,100
NVIDIA H20,7772,-0.15113088,-0.613028,-0.24200067,-0.967241,100
NVIDIA H800,8416,-0.1486588,-0.81049496,-0.25489315,-0.9894696,100
NVIDIA L20,6988,-0.14134558,-0.2652881,-0.22272775,-0.6022941,100
NVIDIA RTX 6000 Ada Generation,3144,-0.13459907,-0.31228468,-0.3097993,-0.7656112,100
