M,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
23937,16384,1050590.3738,0.2670294406088432,0.80398923,-0.53695977,-0.6678693
49665,16384,2263358.2627,0.2564667168174475,0.793404,-0.53693724,-0.6767514
29313,16384,1298768.0274000005,0.264259714306258,0.80117947,-0.5369197,-0.6701616
32769,16384,1459008.9987,0.2628511411018053,0.7996876,-0.5368365,-0.67130774
48129,16384,2189139.6928000003,0.2569819312499864,0.7937994,-0.53681743,-0.67626333
22401,16384,978028.8261,0.2685318021632948,0.80518126,-0.53664947,-0.6664952
27777,16384,1226268.3865,0.2652807124994424,0.80179524,-0.5365145,-0.66914153
52737,16384,2408345.3870999995,0.2558974718022249,0.79224956,-0.5363521,-0.6769989
51201,16384,2333397.236,0.256442739353993,0.7926276,-0.53618485,-0.67646503
24321,16384,1065358.5536999998,0.2675298733756163,0.8035671,-0.5360372,-0.6670721
54273,16384,2478801.2886,0.2558479436357694,0.79185885,-0.5360109,-0.6769021
55809,16384,2550340.7717,0.2556924690969408,0.7914714,-0.53577894,-0.6769403
58881,16384,2694193.0889,0.2553329844686694,0.79033965,-0.53500664,-0.6769326
57345,16384,2618923.6707,0.2558339721905875,0.7907107,-0.5348767,-0.6764506
60417,16384,2762833.5139999995,0.2554707242154386,0.78997195,-0.5345012,-0.6766078
63489,16384,2909542.8253,0.2548979535301823,0.7889037,-0.53400576,-0.676896
61953,16384,2833465.8572000004,0.2554220985066012,0.7892572,-0.5338352,-0.67637664
66561,16384,3052693.8749,0.2546766812876027,0.7882074,-0.5335307,-0.67689127
65025,16384,2977052.1903,0.2551326546900139,0.7885545,-0.5334219,-0.6764553
65536,16384,2995713.5087,0.2550377081751218,0.7883005,-0.53326285,-0.67647153
68097,16384,3125216.2,0.2544965246343882,0.7875432,-0.53304666,-0.6768475
74241,16384,3419815.7288,0.2535176151943045,0.78592896,-0.53241134,-0.6774293
69633,16384,3190626.8085000003,0.2548914138278651,0.7872085,-0.53231704,-0.67620844
73728,16384,3369631.515,0.2550790471399995,0.7862107,-0.5311316,-0.67555887
80385,16384,3702603.1308,0.2535001352156281,0.7844045,-0.5309044,-0.67682475
75777,16384,3472927.0773,0.2547966671508301,0.7856128,-0.5308162,-0.6756715
81921,16384,3773088.8116,0.2535103621074205,0.7841039,-0.5305935,-0.6766878
83457,16384,3837296.9838,0.2539349525435441,0.7835399,-0.5296049,-0.67591316
89601,16384,4139093.6985,0.2527245745111023,0.7821411,-0.5294165,-0.6768811
78849,16384,3605842.4624,0.2553366341773665,0.7847079,-0.52937126,-0.6746093
88065,16384,4057939.952700001,0.2533659909251106,0.7826742,-0.5293082,-0.67628163
91137,16384,4200868.8004,0.2532708020536737,0.78186363,-0.5285928,-0.6760678
86529,16384,3967465.4039,0.2546303893797811,0.78296053,-0.52833015,-0.67478514
92673,16384,4271597.9056,0.2532691865884238,0.7815882,-0.528319,-0.6759557
