hardware,total_underperforming,avg_perf_diff,min_perf_diff,avg_rel_gap,min_rel_gap,topk_count
NVIDIA A100-SXM4-80GB,16925,-0.12564306,-0.28884503,-0.16204733,-0.9778301,100
NVIDIA A40,13511,-0.1601865,-0.5185574,-0.24450643,-0.91891533,100
NVIDIA H20,7840,-0.1557599,-0.6082226,-0.22942688,-0.9649398,100
NVIDIA H800,6130,-0.15878786,-0.7938403,-0.20906797,-0.989251,100
NVIDIA L20,4817,-0.1334796,-0.24645662,-0.24806395,-0.66138965,100
NVIDIA RTX 6000 Ada Generation,2865,-0.13140975,-0.31564954,-0.33988735,-0.73071873,100
