,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.008735999999999876,0.009119999999646097,0.008895666666548665,0.008831000000000018,0.0001632999964359252,0,2,2048,send_recv,2,8
1,0.010368000000000165,0.010495999999999868,0.010421333333333298,0.010399999999999864,5.438954147822649e-05,0,2,10240,send_recv,2,8
2,0.013344000000000052,0.01347199999999998,0.013408000000000017,0.013408000000000015,5.2255781179345284e-05,0,2,18432,send_recv,2,8
3,0.014047000000000026,0.014112999999999829,0.014090666666666569,0.014111999999999852,3.087969487462809e-05,0,2,26624,send_recv,2,8
4,0.014624000000000024,0.014751999999999953,0.014708999999999984,0.014750999999999976,6.010546286872158e-05,0,2,34816,send_recv,2,8
5,0.015008000000000039,0.015039999999999963,0.015028999999999995,0.015038999999999988,1.485485330340814e-05,0,2,43008,send_recv,2,8
6,0.015072000000000004,0.015297000000000026,0.015200333333333335,0.015231999999999971,9.454569735788945e-05,0,2,51200,send_recv,2,8
7,0.015648000000000137,0.01587200000000007,0.015765333333333385,0.015775999999999953,9.175813618175475e-05,0,2,59392,send_recv,2,8
8,0.01644699999999989,0.01660799999999995,0.01654366666666662,0.01657600000000002,6.959086785559105e-05,0,2,67584,send_recv,2,8
9,0.016416000000000056,0.01663900000000001,0.016511666666666695,0.01648000000000002,9.375262959273506e-05,0,2,75776,send_recv,2,8
10,0.01628800000000001,0.016543999999999868,0.016447666666666614,0.016510999999999967,0.00011370234044297935,0,2,83968,send_recv,2,8
11,0.016736000000000105,0.01680000000000007,0.01676800000000003,0.016767999999999915,2.6127890589672286e-05,0,2,92160,send_recv,2,8
12,0.016543000000000006,0.017024,0.01682099999999999,0.01689599999999996,0.00020340272040133517,0,2,100352,send_recv,2,8
13,0.016798999999999977,0.016799999999999954,0.01679966666666663,0.016799999999999954,4.7140452078005454e-07,0,2,108544,send_recv,2,8
14,0.016832000000000107,0.01715199999999993,0.01696,0.01689599999999996,0.00013825580156597562,0,2,116736,send_recv,2,8
15,0.017216000000000124,0.017312000000000126,0.017258666666666766,0.017248000000000048,3.991101212559648e-05,0,2,124928,send_recv,2,8
