hardware,total_underperforming,avg_perf_diff,min_perf_diff,avg_rel_gap,min_rel_gap,topk_count
NVIDIA A100-SXM4-80GB,488,-0.17116281,-0.25303474,-0.33912602,-0.4370402,100
NVIDIA A40,921,-0.20141765,-0.4111442,-0.39805612,-0.7199236,100
NVIDIA H100,355,-0.13579239,-0.18085527,-0.2757473,-0.37183332,100
NVIDIA H200,37,-0.11416949,-0.12880251,-0.23642565,-0.2781451,37
NVIDIA H800,340,-0.13573503,-0.17926994,-0.27503616,-0.35794482,100
NVIDIA L20,728,-0.27849683,-0.4709591,-0.35389543,-0.62534803,100
NVIDIA L40,814,-0.32239458,-0.41811207,-0.47477916,-0.7325674,100
NVIDIA RTX 6000 Ada Generation,733,-0.16783309,-0.21452576,-0.41205895,-0.53216696,100
NVIDIA RTX A6000,240,-0.11900624,-0.1731511,-0.18947932,-0.32087326,100
NVIDIA RTX PRO 6000 Blackwell Server Edition,355,-0.22930135,-0.27347064,-0.36012456,-0.40628782,100
